f_sample,abs_period_,epochs,abs_epoch,method,app,keras_acc_train,keras_acc_test,acctrain,acctest,absperiod
8,1,40,50,I,breast_cancer,0.960439563,0.956140339,0.877,0.82,[1. 1.]
16,1,40,50,I,breast_cancer,0.960439563,0.956140339,0.892,0.87,[1. 1.]
32,1,40,50,I,breast_cancer,0.960439563,0.956140339,0.888,0.93,[12.  8.]
64,1,40,50,I,breast_cancer,0.960439563,0.956140339,0.897,0.95,[12.  9.]
8,1,40,50,I,wine,0.992957771,1,0.754,0.78,[1. 1. 1.]
16,1,40,50,I,wine,0.992957771,1,0.866,0.89,[11.  5.  4.]
32,1,40,50,I,wine,0.992957771,1,0.88,0.94,[3. 2. 1.]
64,1,40,50,I,wine,0.992957771,1,0.915,0.97,[2. 2. 1.]
8,1,200,50,I,iris,0.8333333134651184,0.8666666746139526,0.792,0.83,[1. 6. 1.]
16,1,200,50,I,iris,0.8333333134651184,0.8666666746139526,0.883,0.93,[1. 6. 4.]
32,1,200,50,I,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12.  9.  7.]
64,1,200,50,I,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 11.  9.]
8,2,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.65,0.67,[2. 2. 2.]
8,3,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.667,0.67,[3. 3. 3.]
8,4,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.633,0.67,[4. 4. 4.]
16,4,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.9,0.97,[4. 4. 2.]
16,5,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.9,0.97,[5. 4. 2.]
16,6,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.9,0.97,[6. 4. 2.]
16,7,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.9,0.97,[7. 4. 2.]
16,8,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.9,0.97,[8. 4. 2.]
32,8,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.825,0.97,[8. 4. 2.]
32,9,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.825,0.97,[9. 4. 2.]
32,10,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.825,0.97,[10.  4.  2.]
32,11,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.858,0.97,[11. 11.  7.]
32,12,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12. 12.  7.]
32,13,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12.  9.  7.]
32,14,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12.  9.  7.]
32,15,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12.  9.  7.]
32,16,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12.  9.  7.]
64,16,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,17,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,18,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,19,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,20,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,21,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,22,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,23,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,24,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,25,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,26,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,27,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,28,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,29,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,30,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,31,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
64,32,200,50,D,iris,0.8333333134651184,0.8666666746139526,0.908,0.97,[12. 12. 10.]
8,2,200,50,D,wine,0.9929577708244324,1.0,0.697,0.61,[2. 2. 2.]
8,3,200,50,D,wine,0.9929577708244324,1.0,0.768,0.72,[3. 3. 2.]
8,4,200,50,D,wine,0.9929577708244324,1.0,0.796,0.81,[4. 4. 2.]
16,4,200,50,D,wine,0.9929577708244324,1.0,0.852,0.861,[3 2 1]
16,5,200,50,D,wine,0.9929577708244324,1.0,0.852,0.861,[3 2 1]
16,6,200,50,D,wine,0.9929577708244324,1.0,0.852,0.861,[3 2 1]
16,7,200,50,D,wine,0.9929577708244324,1.0,0.852,0.861,[3 2 1]
16,8,200,50,D,wine,0.9929577708244324,1.0,0.852,0.861,[3 2 1]
32,8,200,50,D,wine,0.9929577708244324,1.0,0.908,0.917,[8. 6. 4.]
32,9,200,50,D,wine,0.9929577708244324,1.0,0.908,0.917,[8. 6. 4.]
32,10,200,50,D,wine,0.9929577708244324,1.0,0.908,0.917,[8. 6. 4.]
32,11,200,50,D,wine,0.9929577708244324,1.0,0.908,0.917,[8. 6. 4.]
32,12,200,50,D,wine,0.9929577708244324,1.0,0.908,0.917,[8. 6. 4.]
32,13,200,50,D,wine,0.9929577708244324,1.0,0.908,0.917,[8. 6. 4.]
32,14,200,50,D,wine,0.9929577708244324,1.0,0.908,0.917,[8. 6. 4.]
32,15,200,50,D,wine,0.9929577708244324,1.0,0.908,0.917,[8. 6. 4.]
32,16,200,50,D,wine,0.9929577708244324,1.0,0.908,0.917,[8. 6. 4.]
64,16,200,50,D,wine,0.9929577708244324,1.0,0.908,0.917,[8. 7. 6.]
64,32,200,100,D,wine,0.9929577708244324,1.0,0.908,0.917,[8. 7. 6.]
8,2,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.877,0.8,[2. 2.]
8,3,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.89,0.83,[3. 3.]
8,4,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.888,0.83,[4. 3.]
16,4,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.899,0.86,[3. 2.]
16,5,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.899,0.86,[3. 2.]
16,6,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.899,0.86,[3. 2.]
16,7,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.899,0.86,[3. 2.]
16,8,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.899,0.86,[3. 2.]
32,8,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.879,0.89,[3. 2.]
32,9,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.879,0.89,[3. 2.]
32,10,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.879,0.89,[3. 2.]
32,11,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.879,0.89,[3. 2.]
32,12,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.877,0.92,[12.  9.]
32,13,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.877,0.92,[12.  9.]
32,14,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.877,0.92,[12.  9.]
32,15,100,50,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.877,0.92,[12.  9.]
32,16,100,100,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.877,0.92,[12.  9.]
64,16,100,100,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.903,0.93,[3. 2.]
64,20,100,100,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.903,0.93,[3. 2.]
64,24,100,60,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.903,0.93,[3. 2.]
64,28,100,100,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.903,0.93,[3. 2.]
64,32,100,100,D,breast_cancer,0.9604395627975464,0.9561403393745422,0.903,0.93,[3. 2.]
8,2,100,50,ID,iris,0.8333333134651184,0.8666666746139526,0.65,0.67,[2. 2. 2.]
8,3,100,50,ID,iris,0.8333333134651184,0.8666666746139526,0.667,0.67,[3. 3. 3.]
8,4,100,50,ID,iris,0.8333333134651184,0.8666666746139526,0.633,0.67,[4. 4. 4.]
16,4,100,50,ID,iris,0.8333333134651184,0.8666666746139526,0.692,0.73,[4. 6. 2.]
16,5,100,50,ID,iris,0.8333333134651184,0.8666666746139526,0.875,0.9,[5. 6. 4.]
16,6,100,50,ID,iris,0.8333333134651184,0.8666666746139526,0.883,0.93,[6. 8. 4.]
16,7,100,50,ID,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[ 7. 10.  4.]
16,8,100,50,ID,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[ 8. 12.  4.]
32,8,100,50,ID,iris,0.8333333134651184,0.8666666746139526,0.842,0.93,[8. 9. 7.]
32,9,100,50,ID,iris,0.8333333134651184,0.8666666746139526,0.858,0.97,[11.  9.  7.]
32,10,100,50,ID,iris,0.8333333134651184,0.8666666746139526,0.883,0.97,[12. 11.  7.]
32,11,100,100,ID,iris,0.8333333134651184,0.8666666746139526,0.642,0.7,[12. 13.  8.]
32,12,100,100,ID,iris,0.8333333134651184,0.8666666746139526,0.633,0.7,[15. 13.  8.]
32,13,100,100,ID,iris,0.8333333134651184,0.8666666746139526,0.633,0.7,[18. 13.  8.]
32,14,100,100,ID,iris,0.8333333134651184,0.8666666746139526,0.725,0.83,[16. 14. 12.]
32,15,100,150,ID,iris,0.8333333134651184,0.8666666746139526,0.808,0.9,[19. 14. 12.]
32,16,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.825,0.93,[21. 15. 12.]
32,17,100,100,ID,iris,0.8333333134651184,0.8666666746139526,0.858,0.97,[25. 14. 12.]
32,18,100,100,ID,iris,0.8333333134651184,0.8666666746139526,0.858,0.97,[25. 17. 12.]
64,16,100,100,ID,iris,0.8333333134651184,0.8666666746139526,0.633,0.7,[16. 18. 14.]
64,17,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.658,0.73,[17. 18. 16.]
64,18,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.675,0.8,[20. 20. 14.]
64,19,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.817,0.9,[19. 20. 18.]
64,20,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.833,0.93,[21. 21. 18.]
64,21,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.867,0.93,[23. 22. 18.]
64,22,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.867,0.93,[23. 25. 18.]
64,23,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.867,0.93,[23. 28. 18.]
64,24,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.683,0.77,[25. 29. 18.]
64,25,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.683,0.77,[28. 29. 18.]
64,26,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.658,0.8,[29. 30. 19.]
64,27,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.683,0.8,[27. 30. 24.]
64,28,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.667,0.8,[30. 30. 24.]
64,29,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.667,0.8,[33. 30. 24.]
64,30,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.717,0.83,[32. 30. 28.]
64,31,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.717,0.83,[34. 31. 28.]
64,32,100,200,ID,iris,0.8333333134651184,0.8666666746139526,0.717,0.83,[36. 32. 28.]
8,2,100,50,ID,wine,0.9929577708244324,1.0,0.613,0.67,[5. 4. 0.]
8,3,100,50,ID,wine,0.9929577708244324,1.0,0.782,0.78,[4. 3. 2.]
8,4,100,50,ID,wine,0.9929577708244324,1.0,0.796,0.83,[5. 4. 3.]
16,4,100,50,ID,wine,0.9929577708244324,1.0,0.725,0.86,[6. 4. 2.]
16,5,100,50,ID,wine,0.9929577708244324,1.0,0.803,0.89,[6. 5. 4.]
16,6,100,50,ID,wine,0.9929577708244324,1.0,0.817,0.89,[9. 5. 4.]
16,7,100,50,ID,wine,0.9929577708244324,1.0,0.866,0.92,[12.  5.  4.]
16,8,100,50,ID,wine,0.9929577708244324,1.0,0.894,0.86,[13.  7.  4.]
32,8,100,100,ID,wine,0.9929577708244324,1.0,0.782,0.92,[10.  8.  6.]
32,9,100,100,ID,wine,0.9929577708244324,1.0,0.915,0.89,[12.  8.  7.]
32,10,100,100,ID,wine,0.9929577708244324,1.0,0.887,0.81,[13. 10.  7.]
32,11,100,100,ID,wine,0.9929577708244324,1.0,0.754,0.86,[14. 12.  7.]
32,12,100,100,ID,wine,0.9929577708244324,1.0,0.704,0.81,[14. 12. 10.]
32,13,100,100,ID,wine,0.9929577708244324,1.0,0.782,0.81,[15. 12. 12.]
32,14,100,100,ID,wine,0.9929577708244324,1.0,0.782,0.81,[18. 12. 12.]
32,15,100,100,ID,wine,0.9929577708244324,1.0,0.711,0.83,[20. 13. 12.]
32,16,100,100,ID,wine,0.9929577708244324,1.0,0.754,0.83,[23. 13. 12.]
64,16,100,100,ID,wine,0.9929577708244324,1.0,0.852,0.89,[19. 16. 13.]
64,17,100,100,ID,wine,0.9929577708244324,1.0,0.754,0.89,[20. 18. 13.]
64,18,100,100,ID,wine,0.9929577708244324,1.0,0.718,0.83,[20. 18. 16.]
64,19,100,100,ID,wine,0.9929577708244324,1.0,0.796,0.83,[21. 18. 18.]
64,20,100,100,ID,wine,0.9929577708244324,1.0,0.796,0.83,[24. 18. 18.]
64,21,100,100,ID,wine,0.9929577708244324,1.0,0.796,0.83,[27. 18. 18.]
64,22,100,100,ID,wine,0.9929577708244324,1.0,0.838,0.86,[29. 19. 18.]
64,23,100,100,ID,wine,0.9929577708244324,1.0,0.838,0.83,[29. 22. 18.]
64,24,100,100,ID,wine,0.9929577708244324,1.0,0.845,0.86,[29. 25. 18.]
64,25,100,100,ID,wine,0.9929577708244324,1.0,0.845,0.86,[29. 28. 18.]
64,26,100,100,ID,wine,0.9929577708244324,1.0,0.796,0.83,[29. 28. 21.]
64,27,100,100,ID,wine,0.9929577708244324,1.0,0.796,0.83,[29. 28. 24.]
64,28,100,100,ID,wine,0.9929577708244324,1.0,0.796,0.81,[29. 28. 27.]
64,29,100,100,ID,wine,0.9929577708244324,1.0,0.761,0.81,[31. 28. 28.]
64,30,100,100,ID,wine,0.9929577708244324,1.0,0.761,0.81,[34. 28. 28.]
64,31,100,100,ID,wine,0.9929577708244324,1.0,0.761,0.81,[37. 28. 28.]
64,32,100,100,ID,wine,0.9929577708244324,1.0,0.761,0.81,[40. 28. 28.]
8,2,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.877,0.8,[2. 2.]
8,3,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.89,0.83,[3. 3.]
8,4,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.884,0.82,[5. 3.]
16,5,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.848,0.82,[7. 3.]
16,6,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.853,0.84,[9. 3.]
16,7,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.848,0.83,[11.  3.]
16,8,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.892,0.87,[11.  5.]
32,8,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.873,0.89,[10.  6.]
32,9,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.855,0.88,[12.  6.]
32,10,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.888,0.93,[12.  8.]
32,11,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.837,0.85,[12. 10.]
32,12,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.787,0.76,[14. 10.]
32,13,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.787,0.76,[16. 10.]
32,14,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.804,0.78,[18. 10.]
32,15,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.809,0.78,[20. 10.]
32,16,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.811,0.78,[22. 10.]
64,16,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.916,0.89,[17. 15.]
64,17,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.829,0.85,[19. 15.]
64,18,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.831,0.83,[20. 16.]
64,19,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.833,0.83,[22. 16.]
64,20,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.837,0.83,[24. 16.]
64,21,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.844,0.84,[26. 16.]
64,22,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.901,0.89,[27. 17.]
64,23,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.905,0.89,[28. 18.]
64,24,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.91,0.9,[28. 20.]
64,25,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.91,0.9,[28. 22.]
64,26,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.91,0.9,[28. 24.]
64,27,100,100,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.884,0.89,[28. 26.]
64,28,100,200,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.807,0.83,[29. 27.]
64,29,100,200,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.807,0.84,[31. 27.]
64,31,100,200,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.809,0.84,[35. 27.]
64,32,100,200,ID,breast_cancer,0.9604395627975464,0.9561403393745422,0.809,0.84,[37. 27.]
